Q7187 gene
Q1914636 activity
Q18491097 single-engine-monoplane-fighter
Q1832 gadolinium
Q146 0
Q11424 film
Q1133 radon
Q879 bromine
Q867 germanium
Q7603658 state-attorney-general
Q751 osmium
Q671 francium
Q658414 maritime-patrol-aircraft
Q549805 isotope-of-gadolinium
Q549775 isotope-of-tungsten
Q358 national-heritage-site
Q3249551 process
Q3088318 farmstead-cheese
Q266237 algebraic-curve
Q2220795 isotope-of-bromine
Q18087975 subnational-heritage-site
Q176799 military-unit
Q895 rubidium
Q871 arsenic
Q533501 Secretary-of-state
Q377262 isotope-of-radium
Q35872 boat
Q2352365 isotope-of-francium
Q212892 membranophone
Q2041172 measuring-instrument
Q18556032 skin-disease
Q1321050 isotope-of-rubidium
Q123705 neighborhood
Q1190207 isotope-of-osmium
Q11405 flute
Q1128 radium
Q11019 machine
Q860861 sculpture
Q7366 song
Q620110 Leader-of-the-Opposition
Q55488 railway-station
Q522648 clothing-in-ancient-Greece
Q42889 vehicle
Q2288723 isotope-of-germanium
Q21082524 chromosomal-deletion-syndrome
Q830 0
Q8140750 Category:North-America-templates
Q40056 computer-program
Q2727415 Internet-tablet
Q2522813 isotope-of-arsenic
Q1396328 colour-pigeon
Q13622547 road-switcher
Q1261534 carrier-based-aircraft
Q1086 ruthenium
Q888 krypton
Q758 zinc
Q578994 helminthiasis
Q57821 fortification
Q324233 torpedo-boat
Q3114762 warship
Q18553247 primary-bacterial-infectious-disease
Q15686806 senator
Q1053 molybdenum
Q1048835 political-territorial-entity
Q941179 articulated-locomotive
Q876 selenium
Q746549 dish
Q744 nickel
Q507057 Juno-Award
Q469900 isotope-of-molybdenum
Q467 woman
Q188211 invariant
Q178977 silicate-mineral
Q1374122 isotope-of-ruthenium
Q1373439 isotope-of-krypton
Q12280 bridge
Q938 strontium
Q852446 administrative-territorial-entity-of-the-United-States
Q83267 crime
Q778129 light-cruiser
Q7748 law
Q740 cobalt
Q4335792 organic-mineral-class
Q40050 drink
Q33311 Dravidian-languages
Q2991378 isotope-of-zinc
Q19773206 voiced-consonant
Q18534278 0
Q16970 church
Q162986 replenishment-oiler
Q1567915 diesel-multiple-unit
Q15222213 artificial-physical-object
Q14897293 fictitious-entity
Q14214 Secretary-of-State
Q1410980 ironclad-warship
Q1121 actinium
Q1075310 sailboat
Q1038 zirconium
Q851824 persecution
Q81895 spoon
Q8074 cloud
Q753 copper
Q727373 isotope-of-nickel
Q713 scandium
Q6378333 0
Q309 history
Q2417724 isotope-of-actinium
Q2152657 double-reed-instrument
Q210223 sloop
Q2044538 isotope-of-selenium
Q196342 digital-single-lens-reflex-camera
Q189214 tempo
Q18574946 annual-event
Q18536342 competitive-player
Q15126142 transport-aircraft
Q1463583 0
Q1372202 isotope-of-cobalt
Q1325627 isotope-of-strontium
Q1190176 isotope-of-zirconium
Q8868084 Category:United-Kingdom-Acts-of-Parliament-by-year
Q728 weapon
Q677 Iron
Q410111 aspartate-protease
Q38035 consonant
Q312466 utility-software
Q255478 isotope-of-scandium
Q214609 material
Q171043 steam-locomotive
Q132241 festival
Q13221722 third-level-administrative-country-subdivision
Q1294787 artisan
Q618123 geographical-object
Q4390702 character-race-in-Dungeons-&-Dragons
Q34442 road
Q2213488 pressed-uncooked-cheese
Q214098 radial-engine
Q201788 historian
Q174211 organic-compound
Q13099336 utility-pigeon
Q12800 machine-gun
Q11399 rock-music
Q105999 freighter
Q735 art
Q638 music
Q5192262 pouter-and-cropper
Q483501 artist
Q47574 unit-of-measurement
Q2529274 isotope-of-copper
Q16637313 dairy-cheese
Q15630508 NUTS-set-for-a-country
Q132050 governor
Q11410 game
Q11344 chemical-element
Q1098 uranium
Q82799 name
Q722 vanadium
Q49848 document
Q47528 radar
Q428818 period-8-element
Q37756 alloy
Q3243677 Guantanamo-Bay-detainees
Q2705092 Formula-One-racing
Q2385804 educational-institution
Q19866412 [Te(VI)O]-like-block-mineral-group
Q16607788 calcium-amphibole-subgroup
Q15042037 statistical-territorial-entity
Q11446 ship
Q1078334 low-floor-bus
Q861 gallium
Q8434 education
Q8366 algorithm
Q7888495 Permanent-Representative-to-the-United-Nations
Q7725634 literary-work
Q731 manganese
Q40218 spacecraft
Q36161 set
Q2994663 2-8-0
Q28803 sandwich
Q25653 ferry
Q2187969 isotope-of-gallium
Q170483 sailing-ship
Q16031226 medical-specialist
Q1454201 unguided-bomb
Q14189 cumulus-cloud
Q1402386 touring-car
Q13341433 carbide,-silicide,-nitride-and-phosphide-minerals
Q12518 tower
Q1201493 isotope-of-iron
Q1115 thorium
Q1054760 0
Q8242 literature
Q7603534 state-senator
Q640078 minelayer
Q484000 unmanned-aerial-vehicle
Q469670 isotope-of-manganese
Q428874 superactinide
Q4130 orbit
Q245272 V12
Q239813 period-6-element
Q221329 0
Q198815 goat-cheese
Q193234 scooter
Q1895097 isotope-of-thorium
Q18716363 vanadate-mineral
Q180516 room
Q179911 tourmalines
Q169872 symptom
Q151885 concept
Q1109 protactinium
Q11024 communication
Q10990 meat
Q1088 0
Q7275 state
Q3777564 autunite-mineral-group
Q3401256 0
Q2518691 defence-minister
Q2498986 isotope-of-protactinium
Q244979 period-7-element
Q2441836 0
Q198 war
Q189290 officer
Q18556724 intestinal-disease
Q16533 judge
Q15220429 health-professional
Q137823 monitor
Q1369686 isotope-of-uranium
Q13233 ice-cream
Q12097 0
Q11023 engineering
Q107715 physical-quantity
Q9585 Shia-Islam
Q81096 engineer
Q725 chromium
Q723916 turbojet
Q58778 system
Q532 village
Q477795 isotope-of-vanadium
Q39804 cruise-ship
Q2424752 product
Q2221906 geographic-location
Q212238 civil-servant
Q1860 English
Q1724625 climate-of-the-United-States
Q14509381 Tweede-Kamerverkiezingen
Q1307792 0
Q877517 ball-game
Q83620 thoroughfare
Q8148 industry
Q7603902 state-treasurer
Q756271 0
Q747980 polytope
Q716 titanium
Q663 aluminium
Q6154820 Category:Infobox-templates
Q576349 encephalopathy
Q5358201 attorney-general
Q523 star
Q518730 0
Q3777818 smectite-mineral-group
Q36180 writer
Q2661677 European-Commissioner
Q216048 team-sport
Q19000590 eye-disease
Q18616576 Wikidata-property
Q17024704 motorcycle-racing-series
Q15617994 designation-for-an-administrative-territorial-entity
Q811430 construction
Q736559 Secretary-of-State
Q703 potassium
Q65943 theorem
Q577 year
Q41487 court
Q3542731 fictional-animal-character
Q3534114 heavy-bomber
Q35127 website
Q34770 language
Q327333 government-agency
Q31427 fricative-consonant
Q2607934 guided-missile-destroyer
Q20656600 (A1A)(A1A)
Q1872 americium
Q1854639 dumpling
Q18089563 local-heritage-site
Q154411 wrench
Q1531597 raw-milk-cheese
Q1434805 algebraic-surface
Q12775041 inline-engine
Q1256296 white-mold-rind-cheese
Q11472 paper
Q11422 toy
Q1051067 pre-dreadnought-battleship
Q8140896 0
Q8084905 autoimmune-disease
Q7862504 Category:Geography-templates-by-country
Q784903 isotope-of-americium
Q784823 isotope-of-aluminium
Q751705 autocannon
Q68 computer
Q64134 0
Q639669 musician
Q482 poetry
Q472211 isotope-of-titanium
Q468008 isotope-of-potassium
Q447725 aluminium-alloy
Q428661 U-boat
Q309027 turboprop
Q221276 isotope-of-chromium
Q207628 musical-composition
Q207601 American-Music-Awards
Q192611 constituency
Q18558007 in-situ-carcinoma
Q178296 dodecahedron
Q17205 aircraft-carrier
Q15727337 unclassified-silicates
Q149621 district
Q1375427 European-Championship
Q1361551 lifeboat
Q11707 restaurant
Q878123 racing
Q780 0
Q6999 astronomical-object
Q688 chlorine
Q682 sulfur
Q41298 magazine
Q38867 laser
Q3753221 convex-polyhedron
Q340169 communication-medium
Q2701306 Admiralty-Islands-languages
Q2348563 isotope-of-plutonium
Q23397 lake
Q220322 Agnosia
Q1882 berkelium
Q179661 therapy
Q1794431 short-film-festival
Q178885 deity
Q1735864 Spellemannprisen
Q16334295 group-of-humans
Q15727447 germanium-compound
Q15416 television-program
Q149918 communications-satellite
Q12796 firearm
Q1278335 instrumentalist
Q116 monarch
Q1144661 amusement-ride
Q11032 newspaper
Q1102 plutonium
Q1054718 nephropathy
Q980357 grammatical-category
Q901 scientist
Q864503 biologist
Q670 silicon
Q577752 0
Q477248 pastry
Q467791 isotope-of-chlorine
Q3774485 washed-rind-cheese
Q369157 Meningioma
Q33705 0
Q2628227 Doktor-Nauk
Q2266066 0
Q221118 isotope-of-berkelium
Q2065736 cultural-property
Q1876 curium
Q18558086 amino-acid-metabolic-disorder
Q1852043 R-1340-Wasp
Q182940 dessert
Q17810142 Governor-(Mexico)
Q1646605 member-state
Q15052056 administrative-territorial-entity-of-Brazil
Q1370129 anti-tank-gun
Q11639 dance
Q946808 compact-car
Q93288 contract
Q931309 medical-imaging
Q877955 deputy-prime-minister
Q8441 man
Q776396 isotope-of-argon
Q714886 regular-polygon
Q706 calcium
Q656940 0
Q648995 algebraic-variety
Q51597 plosive-consonant
Q468340 isotope-of-curium
Q4354109 Cab-unit
Q32880 architectural-style
Q3273722 health-minister
Q30849 blog
Q2902661 criminal-defence
Q248577 President-of-the-Republic
Q213441 shop
Q1936384 area-of-mathematics
Q192880 pyroxenes
Q180744 brass-instrument
Q15361145 eating-party
Q134808 vaccine
Q13127686 mythical-character
Q1162163 director
Q1105 neptunium
Q101352 family-name
Q868557 music-festival
Q841751 landing-craft
Q830335 protected-cruiser
Q8063 rock
Q753058 attack-helicopter
Q696 argon
Q674 phosphorus
Q634415 midget-submarine
Q476300 competition
Q468081 isotope-of-sulfur
Q41583 sports-coach
Q4018482 education-minister
Q391414 architectural-element
Q3895768 fictional-location
Q382952 isotope-of-calcium
Q3750285 administrative-territorial-entity-of-Canada
Q373916 nymph
Q33577 Indo-Aryan-languages
Q2627975 ceremony
Q2578402 hand-tool
Q2393673 isotope-of-neptunium
Q223557 physical-object
Q206901 amyotrophic-lateral-sclerosis
Q20638126 tomato
Q1948412 morphism
Q192498 administrative-territorial-entity-of-France
Q191826 tugboat
Q180846 supermarket
Q177597 naval-ship
Q173603 helmet
Q1286790 auxiliary-ship
Q1249453 improvised-explosive-device
Q11563 number
Q10540834 Minister-of-Agriculture
Q9332 behaviour
Q843215 missile-boat
Q7850 Chinese
Q783794 company
Q782885 first-generation-jet-fighter
Q719226 fast-attack-craft
Q712378 organ
Q660 magnesium
Q658 sodium
Q51593 nasal-consonant
Q471670 isotope-of-silicon
Q387917 administrative-territorial-entity-of-Germany
Q3811 0
Q35535 police
Q35120 0
Q33681 Mande-languages
Q335225 rocket-engine
Q3259505 convex-polygon
Q32385 isotope-of-phosphorus
Q318 galaxy
Q23392 ice
Q21199 natural-number
Q2061540 PT6
Q192096 bowed-string-instrument
Q1896 fermium
Q1892 einsteinium
Q17578116 interior-minister
Q17488169 sodium-calcium-amphibole-subgroup
Q173453 wind-instrument
Q159334 secondary-school
Q15904122 0
Q1411808 sheep's-milk-cheese
Q1361086 chocolate-bar
Q12973014 sports-team
Q1197685 public-holiday
Q1107656 garden
Q9143 programming-language
Q874405 social-group
Q847109 dreadnought
Q785082 isotope-of-einsteinium
Q757554 nuclear-submarine
Q756 0
Q7075 library
Q6671777 structure
Q648864 0
Q6222180 Category:GNU/Linux-distributions-by-country-of-origin
Q48204 voluntary-association
Q470561 isotope-of-sodium
Q468882 isotope-of-magnesium
Q465498 isotope-of-fermium
Q40861 marble
Q38848 heavy-metal-music
Q3777751 milarite-mineral-group
Q37226 teacher
Q34876 province
Q33525 carcinoma
Q3323634 cream-cheese
Q3183364 administrative-territorial-entity-of-Spain
Q28823 textile
Q2815074 0
Q274586 sports-car
Q2300236 amphibious-warfare-ship
Q2239243 mythical-creature
Q205892 calendar-date
Q204832 roller-coaster
Q19358748 Van's-RV
Q1898 mendelevium
Q18967382 neurodegenerative-disease
Q1888 californium
Q18759076 pyrite-structural-group
Q14952 headgear
Q133981 0
Q1290820 spinel-mineral-group
Q12140 pharmaceutical-drug
Q11028 information
Q1078024 R-1820-Cyclone-9
Q1064904 injury
Q1004 comic
Q9174 religion
Q83405 factory
Q82480 sedimentary-rock
Q8066 amino-acid
Q80071 symbol
Q7603657 state-auditor
Q683570 ballistic-missile-submarine
Q54128 domestic-worker
Q469744 isotope-of-mendelevium
Q420 biology
Q40578 cuisine-of-the-United-States
Q390979 Polynesian-languages
Q3863 asteroid
Q3777842 tsumcorite-mineral-group
Q355567 royal-or-noble-rank
Q336 science
Q32489 knife
Q2920921 management
Q2806524 0
Q2704381 subcompact-car
Q244479 Cessna-172-Skyhawk
Q19768 machine-tool
Q191851 vase
Q188860 library
Q187931 phrase
Q185638 Cirrus-cloud
Q17763739 Minister-of-Justice
Q16917 hospital
Q14970 tanker
Q1406 Microsoft-Windows
Q1339146 Sport-bike
Q131138 joke
Q1088652 isotope-of-californium
Q863404 subterranea
Q861028 Hemangioma
Q847478 armored-cruiser
Q825762 0
Q814517 disabled-sport
Q814006 Beech-18
Q7809812 0
Q7278 political-party
Q7184903 abstract-object
Q717478 administrative-territorial-entity-of-the-United-Kingdom
Q708176 arthropathy
Q654 neon
Q650 fluorine
Q51606 approximant-consonant
Q39825 census
Q3918 university
Q37845 Altaic-languages
Q375795 glycosidase
Q33738 Maya-languages
Q333156 0
Q283 water
Q2778433 0
Q26540 artificial-satellite
Q2319551 isotope-of-rutherfordium
Q22676 shoe
Q21082496 autosomal-recessive-cerebellar-ataxia
Q207977 prototype
Q20086417 Shadow-Secretary-of-State
Q19814 Romance-languages
Q19682167 0
Q192287 administrative-territorial-entity-of-Russia
Q19000743 connective-tissue-disease
Q18966173 physical-disorder
Q18199114 algebraic-construction
Q1798603 string-instrument
Q17582 affricate-consonant
Q154 alcoholic-beverage
Q141488 graph
Q1370598 place-of-worship
Q134768 cocktail
Q134307 portrait
Q13266 cookie
Q13226383 facility
Q13221579 nesoborate-mineral-subclass
Q1252 hassium
Q1232 dubnium
Q1226 rutherfordium
Q1203472 German-Badminton-Championships
Q11210 coordinate-system
Q1076105 general-election
Q865422 game-controller
Q8495 milk
Q83478 group
Q82955 politician
Q7868 cell
Q7706309 tetradecahedron
Q7347672 Category:Fictional-mammals
Q7102702 Category:Sports-templates-by-sport
Q629 oxygen
Q5339 transistor
Q5300 central-processing-unit
Q5062122 central-nervous-system-disease
Q470437 isotope-of-neon
Q466374 isotope-of-hassium
Q465048 isotope-of-dubnium
Q44539 temple
Q4421 forest
Q43260 polynomial
Q4243782 Cypriot-Men's-Volleyball-Cup
Q3777578 eudialyte-mineral-group
Q3777477 sodium-amphibole-subgroup
Q376 clock
Q37447 postal-code
Q34493 motorcycle
Q33999 actor
Q3305213 painting
Q295089 0
Q229256 dermatitis
Q214190 battlecruiser
Q202444 given-name
Q19793980 Semitic-letter
Q18916020 river-cruise-ship
Q18555315 skin-benign-neoplasm
Q1827425 Liposarcoma
Q180684 conflict
Q179700 statue
Q177634 community
Q17351671 work-based-on-The-Smurfs
Q16510064 sporting-event
Q161172 ring
Q15893266 former-entity
Q15839082 Warcraft-race
Q15706911 fictional-object
Q15632617 fictional-human
Q15229207 sports-award
Q14637321 fictional-spacecraft
Q14469659 heritage-place-of-Canada
Q1344 opera
Q128581 breast-cancer
Q124072 rifle
Q1234 seaborgium
Q1193125 isotope-of-fluorine
Q11618417 LAU-2
Q11442 bicycle
Q1076579 act-of-Parliament
Q1028181 painter
Q847017 sports-club
Q82794 geographic-region
Q815741 geometric-shape
Q815423 supermini
Q742292 domestic-duck
Q724736 V-engine
Q7102914 Category:Politics-and-government-templates-by-country
Q662628 Malayic-languages
Q627 nitrogen
Q5200157 confections
Q5185279 poem
Q5058355 0
Q49749 alveolar-consonant
Q49008 prime-number
Q471616 isotope-of-seaborgium
Q451967 action
Q44559 extrasolar-planet
Q42603 priest
Q40244 marathon
Q384724 Euro-gold-and-silver-commemorative-coins
Q3777835 tetradymite-mineral-group
Q3777732 linnaeite-mineral-group
Q31989 English-based-creole-languages
Q317623 technical-standard
Q3077673 0-4-4T
Q2699398 Western-Malayo-Polynesian-languages
Q244982 period-5-element
Q239825 period-4-element
Q23413 castle
Q2088357 musical-ensemble
Q190868 boot
Q18975031 basal-cell-carcinoma
Q189299 necklace
Q18556937 retinal-disease
Q18556624 nutritional-deficiency-disease
Q18555050 female-reproductive-system-disease
Q181332 zeolites
Q177220 singer
Q17361443 administrative-territorial-entity-of-a-state-of-the-United-States
Q170285 traffic-sign
Q16889133 class
Q167170 multi-sport-event
Q16010345 performer
Q15889896 cancrinite-mineral-subgroup
Q1345234 comarca-of-Spain
Q13423499 mayor
Q134161 joint-stock-company
Q133163 percussion-instrument
Q11633 photography
Q1065437 S-2-Tracker
Q1057187 Cessna-310-/-320
Q10055494 0
Q974850 missile
Q906278 country-code
Q850270 concept-car
Q827017 0
Q82604 design
Q8047 enzyme
Q79007 street
Q7814722 Category:Years-of-the-19th-century-in-the-United-Kingdom
Q7725310 series-of-creative-works
Q764728 2-10-0
Q7163 politics
Q715278 Formosan-languages
Q625994 convention
Q5322166 designer
Q5165311 O-470
Q5097014 Chief-of-Defence
Q488383 object
Q470479 isotope-of-nitrogen
Q4610556 model
Q44 beer
Q43183 insurance
Q42045 igneous-rock
Q4006 map
Q39631 physician
Q39614 cemetery
Q3887718 uniform-polytope
Q3777780 pyrite-mineral-group
Q37654 market
Q37073 pop
Q3623609 light-bomber
Q319141 conjecture
Q312540 Bell-47
Q28877 good
Q2626870 mental-process
Q25999 0
Q2352616 catalog
Q234460 text
Q2251547 0
Q2094335 United-States-Attorney
Q20379308 swim-club
Q202648 referee
Q200539 dress
Q200038 Mirage-2000
Q19898730 nesosilicate-like-structural-group
Q1930187 journalist
Q1905 lawrencium
Q18968230 connective-tissue-cancer
Q188758 icosahedron
Q18553645 cell-type-benign-neoplasm
Q18553643 breast-benign-neoplasm
Q182027 C-130-Hercules
Q179899 topological-space
Q171558 accident
Q1668024 service-on-internet
Q165678 microcontroller
Q163740 nonprofit-organization
Q15298259 wizard-in-the-Harry-Potter-universe
Q13955 Arabic
Q1384417 experimental-aircraft
Q1361060 harvesting-machine
Q13267846 A-segment
Q1307214 form-of-government
Q1249 bohrium
Q1188543 fourth-generation-jet-fighter
Q11321874 transformer
Q1067324 exploitation-film
Q914262 administrative-territorial-entity-of-Sweden
Q898771 heavy-cruiser
Q858893 salute
Q81103 cannon
Q80793 sundial
Q8072 volcano
Q80151 hat
Q785643 isotope-of-oxygen
Q769815 food-allergy
Q7590 transport
Q757587 nuclear-powered-attack-submarine
Q72313 electric-motor
Q7128792 combat-sport
Q6949149 mythic-humanoid
Q6607 guitar
Q654749 articulated-bus
Q6545185 unique-identifier
Q627503 4-8-4
Q623 carbon
Q6199 anarchism
Q605006 glomerulonephritis
Q5891 philosophy
Q5633421 scientific-journal
Q5398426 television-series
Q5320 switch
Q50231 administrative-territorial-entity-of-the-People's-Republic-of-China
Q4989906 monument
Q49773 social-movement
Q468409 isotope-of-lawrencium
Q466421 reconnaissance-satellite
Q464031 isotope-of-bohrium
Q43845 businessperson
Q42240 research
Q4189855 star-polygon
Q3977901 pyrochlore-supergroup
Q391015 Eastern-Iranian-languages
Q3884033 operation
Q3777540 alunite-mineral-group
Q3671179 Japanese-armour
Q35758 matter
Q34749 social-science
Q34064 Tibeto-Burman-languages
Q33942 0
Q334759 A-4-Skyhawk
Q33248 Cushitic-languages
Q327055 worker
Q3099292 Florida-Gators
Q2975735 A-class-destroyer
Q2932238 dry-stone-hut
Q2920982 method
Q2881374 0
Q231978 palatal-consonant
Q22698 park
